team,def_int,def_sfty,def_sack,def_tkl,def_fum_rec,def_fum_forced,def_td,def_pts_allowed,def_pts_allowed_per_game,pass_yd_allowed,rush_yd_allowed,total_yd_allowed,total_yd_allowed_per_game,fpts,fp_per_game,player,pos,source,source_url
Baltimore,16,0,54.7,671,14,20,3.6,334,19.6,0,1774,4645,273.2,238.3,14.0,Baltimore,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
N.Y. Jets,16,0,60.2,631,12,17,3.3,349,20.5,0,1731,4250,250.0,238.0,14.0,N.Y. Jets,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Kansas City,12,0,55.8,663,13,18,2.8,337,19.8,0,1857,4491,264.2,224.6,13.2,Kansas City,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
San Francisco,16,0,42.3,686,12,16,3.1,341,20.1,0,1739,5096,299.8,218.9,12.9,San Francisco,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Dallas,16,0,59.2,668,15,20,3.4,388,22.8,0,1749,5053,297.2,209.6,12.3,Dallas,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Cleveland,17,0,54.7,654,12,16,3.1,398,23.4,0,1761,4909,288.8,199.3,11.7,Cleveland,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Miami,13,0,56.1,681,15,21,3.0,406,23.9,0,1559,4989,293.5,198.1,11.7,Miami,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Philadelphia,15,0,50.8,678,14,19,3.1,398,23.4,0,1766,5008,294.6,195.4,11.5,Philadelphia,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Tampa Bay,11,0,50.1,706,15,21,2.8,341,20.1,0,1661,5177,304.5,186.9,11.0,Tampa Bay,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Minnesota,11,0,46.6,696,13,18,2.5,407,23.9,0,1622,5080,298.8,177.6,10.4,Minnesota,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Atlanta,12,0,49.9,663,10,14,2.6,438,25.8,0,1624,4955,291.5,177.5,10.4,Atlanta,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
Buffalo,15,0,54.9,667,17,23,3.6,369,21.7,0,2013,5171,304.2,174.5,10.3,Buffalo,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
New England,13,0,40.7,687,12,17,2.6,405,23.8,0,1431,4832,284.2,174.3,10.3,New England,DEF,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/
