params/use_sde,params/learning_rate,params/rollout_buffer_kwargs,params/n_steps,params/policy,params/max_grad_norm,params/gae_lambda,params/policy_kwargs,rollout/ep_len_mean,params/clip_range_vf,time/fps,params/batch_size,params/sde_sample_freq,params/rollout_buffer_class,params/vf_coef,params/gamma,time/time_elapsed,time/iterations,params/n_epochs,params/verbose,params/_init_setup_model,rollout/ep_rew_mean,time/total_timesteps,params/device,params/stats_window_size,mean_reward,params/normalize_advantage,params/clip_range,params/seed,params/ent_coef,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
False,<function learning_rate_schedule.<locals>.<lambda> at 0x354d4d430>,,750,"MlpPolicy",0.7,0.95,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},15.0,,15,750,-1,,0.5,0.99,48,1,30,1,True,-0.9682873999999999,750,"auto",100,-1.0,True,0.2,42,0.03,,,,,,,,,,,,
,,,,,,,,15.0,,15,,,,,,97,2,,,,-0.9841437,1500,,,-0.96828735,,,,,0.20962361829976242,-0.04747723042964935,0.0021333334346612296,9.998125e-05,-0.005829706293608379,-7.075300216674805,30,0.003685181,0.2,-1.7906142751375833,,
,,,,,,,,15.0,,15,,,,,,146,3,,,,-0.96898233,2250,,,-1.0,,,,,0.028854687775795657,-0.0728471577167511,0.06471111066639423,9.99625e-05,-0.012148003191966576,-1.0152666568756104,60,0.013099041,0.2,-1.7789743542671204,,
,,,,,,,,15.0,,15,,,,,,194,4,,,,-0.9275014500000001,3000,,,-0.9379646,,,,,0.04592243432998657,-0.05392799526453018,0.12213333422938982,9.994375e-05,-0.012154345282125804,-0.09688878059387207,90,0.019431986,0.2,-1.7649932384490967,,
,,,,,,,,15.0,,15,,,,,,241,5,,,,-0.8949037599999999,3750,,,-0.91703826,,,,,0.0831720898548762,-0.029122814536094666,0.08555555442969004,9.9925e-05,-0.008962300470056809,0.007243216037750244,120,0.009997433,0.2,-1.7442151188850403,,
,,,,,,,,15.0,,15,,,,,,289,6,,,,-0.85866854,4500,,,-0.87276924,,,,,0.08211731314659118,-0.03482992947101593,0.08462222271288435,9.990625e-05,-0.010936498018151102,0.02365708351135254,150,0.0130868405,0.2,-1.7027273376782734,,
,,,,,,,,,,,,,,,,,,,,,,5000,,,-0.8445678,,,,,0.10161177441477776,-0.02376902848482132,0.0972888885686795,9.988750000000001e-05,-0.011093061878891763,-0.025133609771728516,180,0.012852769,0.2,-1.6588400920232138,15.0,-1.0
,,,,,,,,15.05,,15,,,,,,342,7,,,,-0.8650830700000001,5250,,,,,,,,,,,,,,,,,,,
,,,,,,,,15.05,,15,,,,,,389,8,,,,-0.8487527199999999,6000,,,-0.8855983,,,,,0.1048293836414814,-0.020043648779392242,0.10368888992040108,9.986875000000001e-05,-0.010252404537804722,0.015424966812133789,210,0.008941338,0.2,-1.642996080716451,,
,,,,,,,,15.0,,15,,,,,,437,9,,,,-0.79720106,6750,,,-0.7807737,,,,,0.11705038572351138,-0.015825945883989334,0.045511110903074345,9.985000000000001e-05,-0.009661862164290828,-0.06581282615661621,240,0.006012988,0.2,-1.6106307784716287,,
