player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Christian McCaffrey,RB,301.41885786999995,67.22583158,526.4709179,3.856646693,83.53183116,258.2497504,1220.652543,11.86911801,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Bijan Robinson,RB,260.63242488900005,64.23900643,564.8343636,4.112071694,86.92302354,229.5343378,1031.686871,7.691076906,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Breece Hall,RB,255.68288638500005,67.80965227,546.6637681,2.532855758,85.33296672,235.3002785,1050.670849,7.991231083,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jonathan Taylor,RB,236.324760533,41.11651463,318.4832918,1.444707802,53.03381174,263.1264571,1179.961402,9.758342016,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Saquon Barkley,RB,229.24661515100001,45.98985237,360.4194578,2.376675831,64.37783906,253.123213,1043.636074,8.770905477,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kyren Williams,RB,224.378235364,34.54363796,284.5933016,1.853663569,47.47553914,230.7655268,1076.381834,10.1573409,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Jahmyr Gibbs,RB,213.31160716699998,50.59015307,374.6051147,2.483076363,68.15970109,189.2069416,871.6502562,8.280618389,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Travis Etienne,RB,201.76605536200003,46.71422182,355.0853369,1.137430185,59.43769634,225.2416452,949.7668447,6.969755272,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Isiah Pacheco,RB,209.15147720000002,45.53973702,290.2586246,2.023126249,54.06915455,220.2286678,977.8802258,8.139850891,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Derrick Henry,RB,216.68603762400002,27.21101138,223.1263925,1.11217215,35.65110458,251.2596065,1059.416294,11.47637742,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rachaad White,RB,199.934331064,53.41661076,394.4979596,1.719324615,65.13817458,213.5505128,867.8919239,6.326910507,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Joe Mixon,RB,196.66269291199998,42.38345896,297.2985294,2.890640619,53.71918977,214.8610359,883.7411667,6.67859396,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
James Cook,RB,197.44567013799997,49.18425408,406.6632836,2.365043432,63.10788482,207.2867958,936.4547115,4.35335748,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kenneth Walker III,RB,195.352175072,30.81854386,230.677313,0.81369284,39.47150733,234.1680891,1015.807971,8.475565265,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Josh Jacobs,RB,188.57559996000003,37.34741844,287.2851781,1.353942628,51.29589247,240.8588386,945.479596,6.626252517,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Alvin Kamara,RB,195.287788017,66.74471795,487.777753,1.819899196,81.77761092,180.7248842,749.6131159,4.624862236,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
De'Von Achane,RB,187.250779404,46.52860012,388.955381,2.507076805,63.369183,162.3460149,750.3858186,5.95827061,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
D'Andre Swift,RB,163.42683451200003,34.83517166,249.2433667,1.387941633,45.01557624,183.8193886,832.1646394,5.134118326,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Rhamondre Stevenson,RB,168.796059266,46.04678206,335.5083138,0.997391923,62.95537669,188.4941591,790.7757086,4.738809349,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
James Conner,RB,161.38638068500003,33.18393161,223.7471934,1.107486436,39.66110625,176.8511957,814.9260533,5.757302085,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Najee Harris,RB,161.485190189,28.01473771,168.7176719,1.251856628,35.90593776,218.7764055,889.9336273,5.846371309,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
David Montgomery,RB,166.51743565799998,21.72809658,162.3677525,0.708015249,28.12560155,181.3248397,795.2560619,9.359567166,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
